hardware,depth_ratio,cx_ratio,init,circuit
sycamore,2.2018348623853212,8.18918918918919,random,53Q_gate_Sycamore_small_2_3_1.5_no.7
rochester,3.206896551724138,5.53781512605042,sabre,53Q_gate_Rochester_small_1_3_1.5_no.7
tokyo,1.4864864864864864,1.4,sa,20Q_gate_Tokyo_large_1_1_1.5_no.7
tokyo,1.2037037037037037,1.3888888888888888,sa,20Q_gate_Tokyo_large_2_1_1.5_no.4
rochester,4.142857142857143,4.060913705583756,sabre,53Q_gate_Rochester_large_2_5_1.5_no.1
sycamore,2.2840236686390534,4.5772357723577235,sabre,53Q_depth_Sycamore_small_None_4_1.5_no.6
sycamore,2.5689655172413794,5.732394366197183,random,53Q_gate_Sycamore_large_1_5_1.5_no.1
tokyo,1.2710843373493976,1.6940298507462686,sa,20Q_depth_Tokyo_large_None_5_1.5_no.7
rochester,7.395833333333333,7.904306220095694,random,53Q_gate_Rochester_large_1_5_1.5_no.4
rochester,8.162790697674419,10.47191011235955,identity,53Q_gate_Rochester_small_2_10_1.5_no.7
sycamore,3.0377358490566038,5.090909090909091,sa,53Q_depth_Sycamore_large_None_1_1.5_no.0
rochester,7.655172413793103,12.68421052631579,identity,53Q_gate_Rochester_small_2_1_1.5_no.0
rochester,4.634408602150538,12.595092024539877,identity,53Q_depth_Rochester_small_None_2_2.55_no.1
rochester,7.220588235294118,11.522613065326633,identity,53Q_depth_Rochester_small_None_3_2.55_no.6
tokyo,1.5847953216374269,3.125,identity,20Q_depth_Tokyo_large_None_3_2.55_no.6
rochester,4.394736842105263,4.911764705882353,sa,53Q_gate_Rochester_large_2_20_1.5_no.7
tokyo,1.8745980707395498,2.5943204868154157,sabre,20Q_gate_Tokyo_large_1_25_1.5_no.0
rochester,4.044776119402985,5.875,sa,53Q_depth_Rochester_large_None_5_1.5_no.7
sycamore,3.9347826086956523,5.797297297297297,identity,53Q_depth_Sycamore_small_None_5_1.5_no.7
sycamore,5.257142857142857,7.6902654867256635,identity,53Q_gate_Sycamore_large_2_0_1.5_no.4
rochester,6.968253968253968,9.734883720930233,identity,53Q_depth_Rochester_large_None_4_2.55_no.9
rochester,5.411764705882353,10.514285714285714,identity,53Q_gate_Rochester_small_1_1_1.5_no.6
tokyo,1.678082191780822,2.6208530805687205,random,20Q_gate_Tokyo_large_1_10_1.5_no.5
sycamore,4.243478260869566,4.281609195402299,sa,53Q_gate_Sycamore_large_2_25_1.5_no.7
sycamore,2.5444444444444443,5.818696883852692,sa,53Q_depth_Sycamore_small_None_4_1.5_no.5
rochester,3.831460674157303,6.7287234042553195,sabre,53Q_depth_Rochester_small_None_3_2.55_no.5
sycamore,3.4363636363636365,4.170616113744076,sabre,53Q_gate_Sycamore_large_1_4_1.5_no.2
tokyo,1.0126582278481013,1.1171875,sa,20Q_gate_Tokyo_large_1_5_1.5_no.6
sycamore,4.675925925925926,7.121212121212121,random,53Q_depth_Sycamore_small_None_3_1.5_no.7
sycamore,4.576271186440678,5.190476190476191,sa,53Q_depth_Sycamore_large_None_5_1.5_no.8
tokyo,2.208955223880597,2.857142857142857,random,20Q_gate_Tokyo_large_2_5_1.5_no.7
sycamore,5.555555555555555,7.290322580645161,identity,53Q_gate_Sycamore_small_2_1_1.5_no.7
sycamore,4.003344481605351,5.198211624441132,sabre,53Q_depth_Sycamore_small_None_10_2.55_no.0
sycamore,4.557377049180328,4.275,sabre,53Q_gate_Sycamore_large_1_5_1.5_no.7
tokyo,1.2537313432835822,1.4047619047619047,sa,20Q_gate_Tokyo_large_2_5_1.5_no.5
tokyo,1.4444444444444444,2.2533333333333334,sabre,20Q_depth_Tokyo_large_None_5_2.55_no.2
sycamore,5.095890410958904,7.2075471698113205,random,53Q_depth_Sycamore_small_None_1_2.55_no.8
rochester,4.107142857142857,5.363636363636363,sabre,53Q_gate_Rochester_large_1_1_1.5_no.1
rochester,7.125,9.925925925925926,random,53Q_gate_Rochester_large_2_2_1.5_no.3
rochester,5.150943396226415,5.817073170731708,sa,53Q_gate_Rochester_small_1_10_1.5_no.3
sycamore,5.8108108108108105,6.6521739130434785,random,53Q_gate_Sycamore_large_2_1_1.5_no.1
sycamore,2.9565217391304346,4.0,sabre,53Q_gate_Sycamore_small_1_10_1.5_no.2
sycamore,3.5806451612903225,6.566473988439307,identity,53Q_gate_Sycamore_small_2_5_1.5_no.8
sycamore,1.9516129032258065,4.845070422535211,sabre,53Q_depth_Sycamore_small_None_4_1.5_no.8
rochester,7.3076923076923075,10.868421052631579,identity,53Q_depth_Rochester_small_None_5_1.5_no.5
sycamore,4.80327868852459,5.648725212464589,sa,53Q_depth_Sycamore_large_None_3_2.55_no.4
sycamore,2.710280373831776,6.6571428571428575,random,53Q_gate_Sycamore_small_2_3_1.5_no.9
sycamore,6.391304347826087,5.390804597701149,identity,53Q_gate_Sycamore_large_2_25_1.5_no.7
sycamore,5.966292134831461,5.603325415676959,identity,53Q_gate_Sycamore_large_2_15_1.5_no.5
rochester,3.5384615384615383,4.413793103448276,sabre,53Q_gate_Rochester_small_1_3_1.5_no.9
rochester,4.292134831460674,12.052631578947368,random,53Q_depth_Rochester_small_None_2_2.55_no.8
tokyo,1.6236559139784945,2.962406015037594,identity,20Q_depth_Tokyo_large_None_3_2.55_no.8
rochester,5.033333333333333,6.902439024390244,sa,53Q_gate_Rochester_large_1_2_1.5_no.2
rochester,1.6415094339622642,6.15,sa,53Q_gate_Rochester_small_2_0_1.5_no.2
sycamore,3.3666666666666667,6.748837209302326,identity,53Q_gate_Sycamore_small_2_10_1.5_no.1
sycamore,3.539772727272727,5.333333333333333,identity,53Q_gate_Sycamore_small_2_20_1.5_no.3
rochester,2.627659574468085,13.989690721649485,identity,53Q_depth_Rochester_large_None_1_2.55_no.2
rochester,4.816901408450704,4.967105263157895,sa,53Q_gate_Rochester_small_2_15_1.5_no.5
rochester,4.201298701298701,6.06145251396648,sa,53Q_depth_Rochester_large_None_10_2.55_no.3
rochester,9.107142857142858,12.184466019417476,identity,53Q_gate_Rochester_large_2_1_1.5_no.3
rochester,9.174603174603174,9.334470989761092,random,53Q_depth_Rochester_large_None_5_1.5_no.2
rochester,5.283018867924528,4.323828920570265,sabre,53Q_gate_Rochester_small_1_25_1.5_no.6
sycamore,3.8292682926829267,4.294478527607362,sa,53Q_gate_Sycamore_small_1_10_1.5_no.7
rochester,6.0508474576271185,10.74496644295302,random,53Q_gate_Rochester_small_1_5_1.5_no.9
rochester,3.057142857142857,12.58974358974359,identity,53Q_depth_Rochester_small_None_1_2.55_no.9
sycamore,4.95,5.2,identity,53Q_gate_Sycamore_large_1_5_1.5_no.4
rochester,3.5098039215686274,8.066666666666666,sa,53Q_depth_Rochester_small_None_4_2.55_no.9
tokyo,1.3934426229508197,2.65,identity,20Q_gate_Tokyo_large_1_2_1.5_no.4
rochester,2.935483870967742,5.393939393939394,sa,53Q_gate_Rochester_large_2_2_1.5_no.8
tokyo,1.88,3.0681818181818183,identity,20Q_depth_Tokyo_large_None_5_1.5_no.6
tokyo,1.1157894736842104,1.32,sa,20Q_gate_Tokyo_large_1_25_1.5_no.7
rochester,3.066666666666667,6.2615384615384615,sa,53Q_gate_Rochester_small_1_0_1.5_no.8
tokyo,2.6363636363636362,2.730769230769231,identity,20Q_gate_Tokyo_large_1_3_1.5_no.1
rochester,5.135135135135135,10.972527472527473,random,53Q_depth_Rochester_small_None_3_1.5_no.0
rochester,6.7745098039215685,12.479452054794521,random,53Q_depth_Rochester_small_None_4_2.55_no.8
sycamore,2.0660377358490565,4.0,sabre,53Q_gate_Sycamore_small_2_4_1.5_no.9
sycamore,5.829545454545454,5.528301886792453,random,53Q_gate_Sycamore_large_2_15_1.5_no.0
rochester,6.072463768115942,9.413333333333334,random,53Q_gate_Rochester_large_1_10_1.5_no.9
rochester,6.419354838709677,10.990291262135923,identity,53Q_gate_Rochester_large_1_1_1.5_no.5
tokyo,1.3484848484848484,3.032258064516129,random,20Q_gate_Tokyo_large_1_1_1.5_no.5
rochester,6.758928571428571,4.341232227488152,sa,53Q_gate_Rochester_large_1_25_1.5_no.1
rochester,6.077586206896552,9.448529411764707,identity,53Q_depth_Rochester_small_None_5_2.55_no.5
rochester,5.285714285714286,10.277310924369749,identity,53Q_depth_Rochester_small_None_4_2.55_no.2
tokyo,2.1944444444444446,2.88,identity,20Q_depth_Tokyo_large_None_5_1.5_no.8
rochester,4.934426229508197,6.304435483870968,sabre,53Q_depth_Rochester_large_None_10_1.5_no.6
sycamore,3.4307692307692306,4.392523364485982,sabre,53Q_gate_Sycamore_small_2_10_1.5_no.7
tokyo,1.6981132075471699,1.891089108910891,sa,20Q_depth_Tokyo_large_None_1_2.55_no.7
sycamore,5.870229007633588,7.094430992736077,random,53Q_depth_Sycamore_large_None_5_2.55_no.4
sycamore,4.589743589743589,7.925531914893617,identity,53Q_gate_Sycamore_small_1_0_1.5_no.8
rochester,7.714285714285714,16.08955223880597,random,53Q_gate_Rochester_large_1_0_1.5_no.2
rochester,7.728971962616822,6.2646103896103895,identity,53Q_gate_Rochester_large_1_25_1.5_no.4
sycamore,6.071942446043166,5.194528875379939,random,53Q_gate_Sycamore_small_1_25_1.5_no.2
rochester,5.208791208791209,4.353319057815845,sabre,53Q_gate_Rochester_small_1_25_1.5_no.8
rochester,3.689655172413793,4.02027027027027,sabre,53Q_gate_Rochester_large_2_15_1.5_no.4
sycamore,5.584070796460177,6.647058823529412,random,53Q_depth_Sycamore_large_None_5_1.5_no.3
sycamore,4.305555555555555,6.595959595959596,identity,53Q_depth_Sycamore_small_None_3_1.5_no.7
tokyo,1.7378048780487805,2.6231884057971016,random,20Q_gate_Tokyo_large_2_15_1.5_no.3
sycamore,5.571428571428571,6.612359550561798,identity,53Q_gate_Sycamore_small_1_4_1.5_no.7
tokyo,1.5089285714285714,2.35,sabre,20Q_depth_Tokyo_large_None_2_1.5_no.7
tokyo,1.6788321167883211,2.6296296296296298,sabre,20Q_depth_Tokyo_large_None_1_2.55_no.6
sycamore,3.433333333333333,5.010165184243965,sa,53Q_depth_Sycamore_large_None_10_2.55_no.0
rochester,3.4210526315789473,5.814516129032258,sa,53Q_gate_Rochester_small_1_4_1.5_no.0
sycamore,5.32258064516129,4.391089108910891,identity,53Q_gate_Sycamore_large_1_20_1.5_no.0
sycamore,6.523809523809524,5.698701298701299,identity,53Q_gate_Sycamore_large_1_10_1.5_no.2
sycamore,3.066666666666667,5.706586826347305,sa,53Q_depth_Sycamore_large_None_3_2.55_no.3
sycamore,3.574074074074074,4.0932642487046635,sabre,53Q_gate_Sycamore_small_1_5_1.5_no.9
rochester,5.774193548387097,6.124087591240876,sa,53Q_gate_Rochester_large_1_2_1.5_no.5
tokyo,2.675,2.7790697674418605,identity,20Q_gate_Tokyo_large_2_2_1.5_no.1
sycamore,6.052631578947368,5.982412060301508,identity,53Q_gate_Sycamore_small_1_15_1.5_no.6
rochester,5.777777777777778,9.666666666666666,random,53Q_gate_Rochester_large_1_4_1.5_no.0
sycamore,5.991596638655462,5.699421965317919,identity,53Q_gate_Sycamore_small_1_25_1.5_no.4
sycamore,5.7625,7.399193548387097,random,53Q_depth_Sycamore_large_None_2_2.55_no.7
